14.00,12.00,17.00,14.00,6.00,   -7.14,5.63,2.29,   -14.08,-0.12,-0.63
13.00,12.00,17.00,15.00,7.00,   -7.21,5.56,2.35,   -16.01,1.45,-2.06
13.00,11.00,17.00,14.00,7.00,   -6.51,6.67,1.91,   19.22,-18.80,29.42
49.00,17.00,39.00,37.00,51.00,   4.86,5.83,-5.25,   7.68,-24.50,130.33
88.00,1.00,116.00,101.00,97.00,   6.57,-1.26,-7.68,   -3.44,11.12,9.07
60.00,1.00,75.00,66.00,69.00,   9.78,-2.11,-3.51,   -20.21,6.13,-5.50
63.00,2.00,78.00,68.00,74.00,   9.87,-0.57,-3.14,   -11.67,4.70,-1.73
61.00,1.00,79.00,66.00,67.00,   9.33,-2.05,-2.88,   -2.52,-2.72,15.35
59.00,1.00,74.00,65.00,73.00,   9.45,-2.08,-3.22,   -14.42,-0.61,-1.01
58.00,0.00,77.00,64.00,72.00,   9.59,-2.33,-3.36,   -14.36,1.25,1.0
72.00,0.00,78.00,70.00,80.00,   9.50,-2.63,-2.61,   -12.77,-2.35,4.48
57.00,0.00,79.00,68.00,73.00,   9.50,-2.81,-2.37,   -13.59,0.46,0.06
59.00,0.00,76.00,66.00,72.00,   9.64,-2.61,-2.41,   -13.96,1.56,-0.49
64.00,1.00,77.00,67.00,76.00,   9.84,-2.43,-2.26,   -14.36,1.02,-0.87
61.00,1.00,77.00,65.00,73.00,   9.83,-2.18,-2.59,   -13.73,-1.79,1.07
84.00,3.00,102.00,91.00,84.00,   6.58,-1.94,-7.20,   -19.57,-8.42,15.49
81.00,1.00,96.00,83.00,86.00,   8.39,-2.00,-5.46,   -33.41,28.88,-8.23
72.00,0.00,94.00,80.00,76.00,   11.22,-1.48,-2.77,   -25.59,20.54,23.31
79.00,2.00,79.00,73.00,78.00,   9.48,-2.32,-2.96,   -15.50,1.39,-1.21
76.00,1.00,77.00,71.00,78.00,   9.66,-2.63,-2.68,   -14.24,4.57,-1.86
